SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
2001ie,2001ie,UGC 05542,154.211250,60.279030,154.221080,60.284890,0.030614,0.031088,0.000010,0.03161,0.00086,-151,250,,,,,,,0,1,0
2001N,2001N,NGC 3327,159.992000,24.090560,159.991420,24.091250,0.021028,0.022097,0.000007,0.02192,0.00085,51,250,,,,,,,0,1,0
2002ar,2002ar,NGC 3746,174.433000,22.009560,174.431750,22.009830,0.030077,0.031181,0.000009,0.03189,0.00086,-207,250,,,,,,,0,1,0
2002bo,2002bo,NGC 3189,154.527120,21.828250,154.523460,21.832310,0.004370,0.005426,0.000013,0.00613,0.00084,-210,250,,,,,,,0,1,0
2002cd,2002cd,NGC 6916,305.893420,58.346500,305.887830,58.344060,0.010337,0.009725,0.000007,0.01065,0.00084,-275,250,,,,,,,0,1,0
2002do,2002do,MCG +07-41-001,299.053670,40.436330,299.053580,40.433970,0.014980,0.014258,0.000046,0.01487,0.00085,-182,250,,,,,,,0,1,0
2002es,2002es,UGC 02708,50.946790,40.564860,50.953580,40.557830,0.017784,0.017257,0.000007,0.01770,0.00085,-130,250,,,,,,,0,1,0
2002hw,2002hw,UGC 00052,1.704420,8.630140,1.706170,8.628500,0.017525,0.016307,0.000007,0.01679,0.00085,-141,250,,,,,,,0,1,0
2002jy,2002jy,NGC 0477,20.317790,40.498690,20.334880,40.488190,0.019527,0.018628,0.000033,0.02017,0.00085,-453,250,20.314499,40.477568,0.019602,0.018702,0.02024,-453,1,1,0
2003ai,2003ai,IC 4062,195.244500,39.856810,195.244330,39.858940,0.036188,0.036953,0.000010,0.03781,0.00087,-249,250,,,,,,,0,1,0
2003cg,2003cg,NGC 3169,153.566540,3.467360,153.562710,3.466080,0.004046,0.005227,0.000041,0.00503,0.00084,60,250,,,,,,,0,1,0
2003D,2003D,ARP 321 NED01,144.723000,-4.851420,144.723120,-4.849280,0.022182,0.023343,0.000334,0.02375,0.00092,-118,250,,,,,,,0,1,0
2003K,2003K,IC 1129,233.007960,68.243310,233.003420,68.246330,0.021845,0.021897,0.000012,0.02208,0.00085,-54,250,,,,,,,0,1,0
2003kf,2003kf,MCG -02-16-002,91.147580,-12.628560,91.145460,-12.624860,0.007405,0.007716,0.000019,0.00797,0.00084,-75,250,90.901031,-12.558994,0.007388,0.007694,0.00795,-75,1,1,0
2004ap,2004ap,CGCG 064-054,151.432540,10.271420,151.435460,10.276780,0.024030,0.025187,0.000008,0.02518,0.00085,1,250,,,,,,,0,1,0
2004fu,2004fu,NGC 6949,308.798080,64.807140,308.778830,64.802810,0.009216,0.008670,0.000019,0.00965,0.00084,-292,250,,,,,,,0,1,0
2004K,2004K,ESO 579- G 022,215.916040,-19.447220,215.920500,-19.443940,0.036132,0.036983,0.000030,0.03671,0.00087,79,250,,,,,,,0,1,0
2005dv,2005dv,NGC 5283,205.268540,67.672310,205.274000,67.672310,0.010145,0.010378,0.000049,0.01150,0.00084,-332,250,,,,,,,0,1,0
2005ew,2005ew,NSF J033923.74+350249.0,54.848920,35.046940,54.848920,35.046940,0.009060,0.008578,0.000070,0.00840,0.00084,52,250,,,,,,,0,1,0
2005ke,2005ke,NGC 1371,53.768120,-24.944110,53.755580,-24.933220,0.004880,0.004489,0.000007,0.00472,0.00084,-68,250,,,,,,,0,1,0
2005ls,2005ls,CGCG 539-121,43.566540,42.724940,43.568960,42.725920,0.021205,0.020584,0.000220,0.02218,0.00088,-468,250,,,,,,,0,1,0
2006ah,2006ah,GALEXASC J134613.71-090751.0,206.557120,-9.130720,206.557120,-9.130720,0.053050,0.054068,0.000080,0.05419,0.00088,-34,250,,,,,,,0,1,0
2006al,2006al,WISEA J103928.52+051101.2,159.867750,5.183420,159.868880,5.183670,0.067802,0.069078,0.000020,0.06886,0.00089,60,250,,,,,,,0,1,0
2006an,2006an,SDSS J121438.73+121347.7,183.661170,12.229690,183.661420,12.229920,0.064000,0.065192,0.000090,0.06486,0.00089,94,250,,,,,,,0,1,0
2006B,2006B,UGC 12538,350.290750,33.400330,350.290830,33.399560,0.016358,0.015237,0.000007,0.01534,0.00085,-31,250,,,,,,,0,1,0
2006bd,2006bd,UGC 06609,174.618580,20.526220,174.622750,20.527720,0.025511,0.026625,0.000110,0.02746,0.00086,-242,250,,,,,,,0,1,0
2006bk,2006bk,CGCG 193-015,226.140040,35.964190,226.136290,35.965030,0.049369,0.049823,0.000013,0.05006,0.00088,-68,250,,,,,,,0,1,0
2006br,2006br,NGC 5185,202.507500,13.415780,202.509370,13.416060,0.024679,0.025647,0.000018,0.02649,0.00086,-246,250,,,,,,,0,1,0
2006bu,2006bu,WISEA J135247.09+051849.1,208.199210,5.313720,208.196000,5.313830,0.084000,0.084992,0.006000,0.08478,0.00607,59,250,,,,,,,0,1,1
2006bz,2006bz,IC 4042A,195.180750,27.961610,195.178500,27.963110,0.028115,0.029030,0.000157,0.03050,0.00087,-429,250,,,,,,,0,1,0
2006cc,2006cc,UGC 10244,242.485290,43.126640,242.480920,43.129190,0.032956,0.033094,0.000172,0.03408,0.00088,-287,250,,,,,,,0,1,0
2006cg,2006cg,2MASX J13050256+2844204,196.259670,28.740000,196.260580,28.739000,0.027907,0.028804,0.000012,0.03022,0.00086,-411,250,,,,,,,0,1,0
2006cj,2006cj,WISEA J125924.11+282049.8,194.851750,28.347690,194.850540,28.347170,0.067708,0.068657,0.000005,0.06865,0.00089,2,250,,,,,,,0,1,0
2006cm,2006cm,UGC 11723,320.072750,-1.684080,320.072830,-1.684330,0.016331,0.015235,0.000012,0.01574,0.00085,-149,250,,,,,,,0,1,0
2006cs,2006cs,CGCG 190-050,206.391210,35.610170,206.395790,35.611140,0.023742,0.024449,0.000009,0.02400,0.00085,132,250,,,,,,,0,1,0
2006em,2006em,NGC 0911,36.434580,41.942170,36.426670,41.956280,0.019227,0.018511,0.000147,0.01991,0.00086,-411,250,,,,,,,0,1,0
2006H,2006H,WISEA J032600.89+404139.2,51.506210,40.695140,51.504460,40.694580,0.014450,0.013933,0.000050,0.01271,0.00085,363,250,,,,,,,0,1,0
2006ha,2006ha,IC 1461,344.642920,15.173830,344.642920,15.172780,0.030843,0.029587,0.000009,0.02981,0.00086,-66,250,,,,,,,0,1,0
2006hn,2006hn,UGC 06154,166.827790,76.697170,166.827370,76.694940,0.017349,0.017487,0.000037,0.01833,0.00085,-247,250,,,,,,,0,1,0
2006je,2006je,IC 1735,27.722000,33.098110,27.715580,33.092330,0.037903,0.037002,0.000009,0.03819,0.00087,-343,250,,,,,,,0,1,0
2006ke,2006ke,UGC 03365,88.155750,66.816810,88.147830,66.819860,0.017179,0.017127,0.000017,0.01828,0.00085,-338,250,,,,,,,0,1,0
2006le,2006le,UGC 03218,75.174960,62.255280,75.182120,62.244030,0.017439,0.017277,0.000040,0.01854,0.00085,-371,250,,,,,,,0,1,0
2006lf,2006lf,UGC 03108,69.622870,44.033750,69.618040,44.037110,0.013189,0.012956,0.000017,0.01250,0.00084,134,250,,,,,,,0,1,0
2006mq,2006mq,ESO 494- G 026,121.551620,-27.562610,121.546210,-27.528420,0.003199,0.004022,0.000007,0.00352,0.00084,150,250,,,,,,,0,1,0
2006or,2006or,NGC 3891,177.014460,30.356670,177.014000,30.359330,0.020980,0.021968,0.000007,0.02129,0.00085,198,250,,,,,,,0,1,0
2006os,2006os,UGC 02384,43.754210,16.009670,43.752370,16.012420,0.032843,0.032120,0.000187,0.03294,0.00088,-239,250,,,,,,,0,1,0
2006X,2006X,MESSIER 100,185.724960,15.809190,185.728460,15.821810,0.005250,0.006336,0.000005,0.00664,0.00084,-91,250,,,,,,,0,1,0
2007au,2007au,UGC 03725,107.942120,49.853720,107.924250,49.866670,0.020158,0.020445,0.000044,0.02153,0.00085,-318,250,107.314332,50.381039,0.019648,0.019922,0.02100,48,1,1,0
2007ax,2007ax,NGC 2577,125.680250,22.554690,125.681040,22.553080,0.006683,0.007470,0.000042,0.00804,0.00084,-171,250,,,,,,,0,1,0
2007bm,2007bm,NGC 3672,171.259580,-9.798280,171.260290,-9.795390,0.006218,0.007456,0.000063,0.00727,0.00084,55,250,,,,,,,0,1,0
2007bz,2007bz,IC 3918,194.224040,22.372810,194.223080,22.373610,0.022194,0.023173,0.000007,0.02212,0.00085,307,250,,,,,,,0,1,0
2007cg,2007cg,ESO 508- G 075,201.389920,-24.652250,201.389040,-24.652390,0.033200,0.034223,0.000150,0.03299,0.00087,357,250,,,,,,,0,1,0
2007cp,2007cp,IC 0807,190.553000,-17.402140,190.552040,-17.403560,0.036469,0.037633,0.000150,0.03687,0.00088,222,250,,,,,,,0,1,0
2007H,2007H,2MASX J08350222-0820130,128.758250,-8.337580,128.759210,-8.336920,0.042600,0.043604,0.000200,0.04366,0.00089,-18,250,,,,,,,0,1,0
2007N,2007N,MCG -01-33-012,192.255210,-9.452830,192.256330,-9.457030,0.012879,0.014018,0.000040,0.01306,0.00085,282,250,,,,,,,0,1,0
2007S,2007S,UGC 05378,150.130250,4.407280,150.133290,4.407060,0.013856,0.015024,0.000017,0.01509,0.00085,-18,250,,,,,,,0,1,0
2004ef,2004ef,UGC 12158,340.541750,19.994560,340.543790,19.996970,0.031011,0.029782,0.000021,0.03012,0.00086,-100,250,,,,,,,0,1,0
2005be,2005be,WISEA J145933.08+164006.8,224.886330,16.669890,224.887830,16.668580,0.033557,0.034172,0.000011,0.03416,0.00086,2,250,,,,,,,0,1,0
2005eq,2005eq,MCG -01-09-006,47.205460,-7.033250,47.201330,-7.040610,0.028952,0.028334,0.000045,0.02826,0.00086,23,250,47.273368,-7.123426,0.028925,0.028309,0.02823,23,1,1,0
2005iq,2005iq,ESO 538- G 013,359.635420,-18.709170,359.632620,-18.714030,0.034043,0.032920,0.000123,0.03341,0.00087,-142,250,,,,,,,0,1,0
2005M,2005M,NGC 2930,144.384830,23.200750,144.385830,23.202500,0.024840,0.025838,0.000050,0.02598,0.00086,-42,250,,,,,,,0,1,0
2006is,2006is,WISEA J051734.55-234659.7,79.393210,-23.781720,79.394040,-23.783560,0.031400,0.031494,0.000090,0.03071,0.00086,228,250,,,,,,,0,1,0
2009dc,2009dc,UGC 10064,237.800500,25.707780,237.805330,25.701920,0.021468,0.021787,0.000007,0.02137,0.00085,123,250,,,,,,,0,1,0
2008fv,2008fv,NGC 3147,154.238670,73.410110,154.223540,73.400750,0.009380,0.009578,0.000019,0.01044,0.00084,-256,250,154.468910,73.558589,0.009737,0.009932,0.01079,-256,1,1,0
1997bq,1997bq,NGC 3147,154.272210,73.383920,154.223540,73.400750,0.009380,0.009578,0.000019,0.01044,0.00084,-256,250,154.468910,73.558589,0.009736,0.009931,0.01079,-256,1,1,0
2010ai,2010ai,WISEA J125925.01+275948.2,194.850120,27.996420,194.854370,27.996750,0.018267,0.019176,0.000015,0.01826,0.00085,271,250,,,,,,,0,1,0
2002fb,2002fb,NGC 0759,29.453750,36.340640,29.459710,36.343110,0.015290,0.014452,0.000050,0.01391,0.00085,161,250,,,,,,,0,1,0
2002hd,2002hd,MCG -01-23-008,133.514120,-7.189310,133.519500,-7.183190,0.030488,0.031542,0.000150,0.03134,0.00087,58,250,,,,,,,0,1,0
2002hu,2002hu,MCG +06-06-012,34.583580,37.466330,34.576460,37.464330,0.036700,0.035915,0.001000,0.03705,0.00132,-327,250,,,,,,,0,1,0
2003ic,2003ic,MCG -02-02-086,10.459290,-9.305280,10.460290,-9.303140,0.055359,0.054208,0.000016,0.05410,0.00088,32,250,10.552016,-9.457452,0.053105,0.051959,0.05185,199,1,1,0
2003it,2003it,UGC 00040,1.451960,27.452670,1.451710,27.449420,0.025057,0.023904,0.000009,0.02488,0.00085,-285,250,1.241051,27.386883,0.025282,0.024128,0.02510,-285,1,1,0
2003iv,2003iv,UGC 02320 NOTES01,42.530210,12.846250,42.536830,12.843610,0.034260,0.033513,0.000160,0.03491,0.00088,-406,250,,,,,,,0,1,0
2003kc,2003kc,CGCG 152-068,146.643000,30.655280,146.644790,30.653080,0.033162,0.034098,0.000013,0.03479,0.00086,-201,250,,,,,,,0,1,0
2004as,2004as,SDSS J112538.81+224952.2,171.413250,22.830390,171.411750,22.831170,0.031394,0.032496,0.000015,0.03296,0.00086,-136,250,,,,,,,0,1,0
2003U,2003U,NGC 6365A,260.690250,62.164000,260.682540,62.166080,0.028223,0.028057,0.000005,0.02895,0.00086,-259,250,261.099891,62.159221,0.028106,0.027936,0.02883,-114,1,1,0
2003W,2003W,UGC 05234,146.706170,16.043780,146.706330,16.042860,0.020067,0.021145,0.000002,0.02110,0.00085,15,250,146.802108,15.970453,0.019789,0.020868,0.02082,15,1,1,0
2004bg,2004bg,UGC 06363,170.256370,21.339830,170.251960,21.337810,0.021035,0.022143,0.000030,0.02234,0.00085,-57,250,,,,,,,0,1,0
2004L,2004L,CGCG 094-058,156.767120,16.018690,156.766460,16.017940,0.032293,0.033443,0.000010,0.03373,0.00086,-83,250,,,,,,,0,1,0
2005el,2005el,NGC 1819,77.953000,5.194280,77.942250,5.200610,0.014830,0.014819,0.000123,0.01498,0.00086,-46,250,77.960156,5.250687,0.014840,0.014829,0.01499,-46,1,1,0
2005am,2005am,NGC 2811,139.051960,-16.304440,139.046290,-16.312720,0.007899,0.008980,0.000097,0.00897,0.00085,3,250,139.251889,-16.356147,0.007332,0.008414,0.00841,-64,1,1,0
2005kc,2005kc,NGC 7311,338.530580,5.568420,338.527960,5.569890,0.015090,0.013855,0.000002,0.01442,0.00085,-167,250,,,,,,,0,1,0
2005cf,2005cf,MCG -01-39-003,230.384210,-7.413190,230.388710,-7.447890,0.006430,0.007013,0.000060,0.00708,0.00084,-21,250,230.386829,-7.404173,0.006446,0.007029,0.00710,-21,1,1,0
2005lz,2005lz,UGC 01666,32.707330,34.982830,32.702500,34.984610,0.044341,0.043509,0.000140,0.04463,0.00088,-322,250,32.709352,35.064599,0.046242,0.045409,0.04653,-292,1,1,0
2005eu,2005eu,WISEA J022743.32+281037.7,36.930250,28.176830,36.930500,28.177110,0.034490,0.033686,0.005000,0.03516,0.00508,-428,250,,,,,,,0,1,0
2005mz,2005mz,NGC 1275,49.957830,41.505170,49.950670,41.511690,0.017559,0.017022,0.000037,0.01593,0.00085,322,250,,,,,,,0,1,0
2005hf,2005hf,WISEA J012706.15+190658.8,21.774880,19.116810,21.775500,19.116390,0.043110,0.042058,0.000190,0.04303,0.00089,-280,250,,,,,,,0,1,0
2005ki,2005ki,NGC 3332,160.117580,9.202330,160.118210,9.182560,0.019458,0.020655,0.000008,0.02035,0.00085,88,250,,,,,,,0,1,0
2005ms,2005ms,UGC 04614,132.309750,36.129970,132.318290,36.119810,0.025215,0.025950,0.000011,0.02669,0.00086,-217,250,,,,,,,0,1,0
2005mc,2005mc,UGC 04414,126.776500,21.646000,126.774830,21.645280,0.025149,0.025972,0.000006,0.02626,0.00086,-84,250,,,,,,,0,1,0
2005na,2005na,UGC 03634,105.402580,14.133250,105.403170,14.135250,0.026322,0.026849,0.000083,0.02694,0.00086,-26,250,105.415651,14.094646,0.026643,0.027171,0.02726,-89,1,1,0
2006ac,2006ac,NGC 4619,190.436920,35.068640,190.435620,35.062780,0.023094,0.023953,0.000009,0.02432,0.00085,-107,250,,,,,,,0,1,0
2005lu,2005lu,ESO 545- G 038,39.015460,-17.263890,39.015120,-17.262940,0.032189,0.031479,0.000110,0.03170,0.00087,-63,250,,,,,,,0,1,0
2006ar,2006ar,MCG +11-13-036,159.378120,65.016140,159.383290,65.018280,0.022491,0.022875,0.000013,0.02334,0.00085,-137,250,,,,,,,0,1,0
2006ak,2006ak,WISEA J110933.15+283739.8,167.386790,28.630640,167.388080,28.627750,0.037892,0.038933,0.000010,0.04006,0.00087,-325,250,,,,,,,0,1,0
2006bb,2006bb,UGC 04468,128.379540,41.517810,128.378210,41.525440,0.024714,0.025338,0.000008,0.02605,0.00086,-208,250,,,,,,,0,1,0
2006ax,2006ax,NGC 3663,171.014420,-12.291440,170.999620,-12.296440,0.016495,0.017742,0.000150,0.01747,0.00086,81,250,,,,,,,0,1,0
2006az,2006az,NGC 4172,183.061170,56.179390,183.062040,56.177560,0.031083,0.031633,0.000011,0.03206,0.00086,-124,250,183.286309,56.107435,0.031030,0.031580,0.03201,-124,1,1,0
2006cp,2006cp,UGC 07357,184.812040,22.427280,184.805790,22.431530,0.022289,0.023338,0.000002,0.02239,0.00085,278,250,,,,,,,0,1,0
2006bq,2006bq,NGC 6685,279.995330,39.982440,279.994330,39.981780,0.021910,0.021450,0.000120,0.02190,0.00086,-132,250,280.027225,40.040291,0.022717,0.022256,0.02270,-132,1,1,0
2006bt,2006bt,CGCG 108-013,239.127210,20.046000,239.140330,20.052360,0.032082,0.032409,0.000007,0.03121,0.00086,349,250,,,,,,,0,1,0
2006bw,2006bw,2MASS J14335806+0347502,218.486380,3.798830,218.491920,3.797310,0.029962,0.030750,0.000016,0.03132,0.00086,-167,250,,,,,,,0,1,0
2006cf,2006cf,UGC 06015,163.510750,46.026750,163.510040,46.028000,0.041461,0.042232,0.000012,0.04268,0.00087,-130,250,,,,,,,0,1,0
2006cz,2006cz,MCG -01-38-002,222.152750,-4.741860,222.152500,-4.736190,0.041800,0.042554,0.000213,0.04280,0.00090,-72,250,222.152581,-4.577176,0.041754,0.042508,0.04276,-50,1,1,0
2006cq,2006cq,IC 4239,201.104580,30.956310,201.105960,30.959280,0.048442,0.049282,0.000033,0.04944,0.00088,-45,250,,,,,,,0,1,0
2006D,2006D,MRK 1337,193.141420,-9.775220,193.144620,-9.776690,0.008530,0.009656,0.000050,0.00925,0.00084,121,250,,,,,,,0,1,0
2006en,2006en,ARK 577,347.521080,30.223330,347.519540,30.224330,0.031981,0.030812,0.000010,0.03162,0.00086,-236,250,,,,,,,0,1,0
2006et,2006et,NGC 0232,10.690920,-23.558440,10.690920,-23.561360,0.022639,0.021643,0.000150,0.02209,0.00087,-132,250,10.692174,-23.562406,0.022398,0.021402,0.02185,-126,1,1,0
2006eu,2006eu,CGCG 257-035,300.713120,49.317310,300.707790,49.319750,0.023586,0.022914,0.000163,0.02294,0.00087,-9,250,,,,,,,0,1,0
2006ef,2006ef,NGC 0809,31.081290,-8.728390,31.079040,-8.735310,0.017812,0.016939,0.000005,0.01734,0.00085,-118,250,,,,,,,0,1,0
2006ej,2006ej,NGC 0191A,9.749040,-9.015720,9.751000,-9.014580,0.020380,0.019260,0.000006,0.02023,0.00085,-286,250,,,,,,,0,1,0
2006ev,2006ev,UGC 11758,322.746920,13.989220,322.740080,13.986080,0.028733,0.027589,0.000014,0.02810,0.00086,-149,250,,,,,,,0,1,0
2006gj,2006gj,UGC 02650,49.399170,-1.691720,49.393670,-1.695080,0.028293,0.027699,0.000100,0.02803,0.00086,-96,250,,,,,,,0,1,0
2006gr,2006gr,UGC 12071,338.094460,30.828690,338.102080,30.835560,0.034670,0.033519,0.000009,0.03428,0.00086,-221,250,,,,,,,0,1,0
2006gt,2006gt,WISEA J005618.02-013730.9,14.072080,-1.629440,14.075370,-1.625830,0.044799,0.043657,0.000018,0.04464,0.00087,-283,250,,,,,,,0,1,0
2006hb,2006hb,ESO 552- G 052,75.505330,-21.131970,75.502830,-21.136940,0.014957,0.014965,0.000150,0.01518,0.00086,-62,250,,,,,,,0,1,0
2006kf,2006kf,UGC 02829,55.460330,8.156940,55.461920,8.159830,0.020037,0.019545,0.000009,0.01947,0.00085,23,250,,,,,,,0,1,0
2006mp,2006mp,UGC 10754 NOTES01,258.000830,46.555780,257.996210,46.556780,0.023000,0.022886,0.005000,0.02256,0.00507,97,250,,,,,,,0,1,1
2006mo,2006mo,VV 527 NED02,11.660620,36.332720,11.661250,36.331360,0.037186,0.036158,0.000157,0.03702,0.00088,-249,250,,,,,,,0,1,0
2006ot,2006ot,ESO 544- G 031,33.770170,-20.766170,33.769170,-20.767690,0.053100,0.052318,0.000150,0.05202,0.00089,86,250,,,,,,,0,1,0
2006qo,2006qo,UGC 04133,120.034880,56.368810,120.035620,56.365610,0.029704,0.030045,0.000083,0.03072,0.00086,-198,250,120.245078,56.610893,0.028376,0.028714,0.02939,-77,1,1,0
2006S,2006S,UGC 07934,191.412920,35.086780,191.411040,35.083750,0.032240,0.033099,0.000010,0.03393,0.00086,-240,250,,,,,,,0,1,0
2006sr,2006sr,UGC 00014,0.895920,23.196170,0.895920,23.200780,0.024250,0.023067,0.000008,0.02388,0.00085,-238,250,,,,,,,0,1,0
2006td,2006td,KUG 0155+361,29.565670,36.349360,29.565790,36.348280,0.015881,0.015044,0.000090,0.01450,0.00085,161,250,,,,,,,0,1,0
2006N,2006N,CGCG 308-009,92.130170,64.723640,92.126620,64.723690,0.014277,0.014270,0.000083,0.01490,0.00085,-187,250,93.030569,64.549756,0.014154,0.014157,0.01479,-89,1,1,0
2006te,2006te,CGCG 207-042,122.929120,41.554670,122.931170,41.554970,0.031548,0.032115,0.000008,0.03290,0.00086,-227,250,,,,,,,0,1,0
2007ae,2007ae,SDSS J170152.20+790159.2,255.466460,79.031830,255.467500,79.033140,0.064992,0.064845,0.000357,0.06533,0.00096,-135,250,,,,,,,0,1,0
