CID IDSURVEY zHD zHDERR zCMB zCMBERR zHEL zHELERR m_b_corr m_b_corr_err_DIAG MU_SH0ES MU_SH0ES_ERR_DIAG CEPH_DIST IS_CALIBRATOR USED_IN_SH0ES_HF c cERR x1 x1ERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 RA DEC HOST_RA HOST_DEC HOST_ANGSEP VPEC VPECERR MWEBV HOST_LOGMASS HOST_LOGMASS_ERR PKMJD PKMJDERR NDOF FITCHI2 FITPROB m_b_corr_err_RAW m_b_corr_err_VPEC biasCor_m_b biasCorErr_m_b biasCor_m_b_COVSCALE biasCor_m_b_COVADD
2005df_ANU 50 0.00407 0.00084 0.00435 1e-05 0.00435 1e-05 12.1249 0.478515 31.3779 0.479276 31.4903 1 0 -0.076884 0.026127 -0.01756 0.054078 11.9807 0.0341158 0.28956 0.00909854 -0.000106513 -2.28634e-05 -0.000193864 64.4077 -62.7693 -999 -999 -9 86.1777 250 0.025672 9.552 -9 53599.1 0.0693 36 29.7307 0.76016 0.0581 0.4491 0.0385 0.005 1 0.006
2013dy 51 0.00432 0.00084 0.00293 0.00012 0.00394 0.00012 12.246 0.513549 31.499 0.514259 31.6272 1 0 0.073845 0.025997 0.87178 0.02388 12.4377 0.081236 0.19007 0.0142214 -0.000232882 0.000107456 -0.000316314 334.573 40.5693 -999 -999 -9 -413.1 250 0.13193 9.131 0.002 56501.4 0.0283 180 297.453 8.31936e-08 0.0439 0.4231 0.0396 0.016 1 0.03
2013dy 56 0.00432 0.00084 0.00293 0.00012 0.00394 0.00012 12.3081 0.530151 31.5611 0.530838 31.6272 1 0 0.068782 0.046197 1.17027 0.13726 12.4484 0.0938242 0.18821 0.0162642 0.000730534 -0.000231517 -0.000543144 334.573 40.5693 -999 -999 -9 -413.1 250 0.13193 9.131 0.004 56501.5 0.0911 36 52.8999 0.0343241 0.0998 0.4231 0.0479 0.018 1 0.029
2012ht 56 0.00465 0.00084 0.00465 2e-05 0.00352 2e-05 12.6779 0.441191 31.9309 0.442017 31.9348 1 0 -0.06558 0.040908 -1.27917 0.11291 12.751 0.0379431 0.14243 0.0049775 -0.000174447 -8.50274e-05 -0.000158175 163.345 16.7764 -999 -999 -9 -0.2973 250 0.0251619 9.53 -9 56295.8 0.0986 35 27.375 0.81757 0.103 0.3932 0.0348 0.006 1 0.007
2012ht 5 0.00465 0.00084 0.00465 2e-05 0.00352 2e-05 12.78 0.419535 32.033 0.420403 31.9348 1 0 -0.128403 0.022952 -1.16357 0.039407 12.6928 0.0284379 0.15027 0.0039359 -0.000139729 -7.1606e-06 -7.03068e-05 163.345 16.7764 -999 -999 -9 -0.2973 250 0.0251619 9.53 -9 56296.2 0.0483 167 67.749 1 0.0537 0.3932 0.0858 0.011 1 0.005
1980N 50 0.00482 0.00084 0.0046 3e-05 0.00495 3e-05 11.9946 0.557951 31.2476 0.558603 -9 0 0 -0.010995 0.028329 -1.1428 0.11783 12.1471 0.0329384 0.2484 0.00753576 -0.000260037 4.60048e-05 -0.000183314 50.7513 -37.2139 -999 -999 -9 -67.5086 250 0.0179674 11.314 -9 44586.8 0.1899 37 58.5538 0.0134802 0.0654 0.3793 -0.0345 0.002 1 0.005
2012fr 56 0.00483 0.00085 0.0046 0.00015 0.00492 0.00015 11.8801 0.446066 31.1331 0.446882 31.3773 1 0 0.047577 0.041982 1.49515 0.133 11.7919 0.039793 0.34454 0.0126276 0.000876092 -0.000644193 -0.000439198 53.4 -36.1271 -999 -999 -9 -67.5086 250 0.0175479 10.732 0 56244.2 0.1 31 33.5725 0.34373 0.1003 0.3831 -0.0671 0.006 1 0.011
2007on 5 0.00483 0.00085 0.0046 0.00015 0.00491 0.00015 12.3995 0.564078 31.6525 0.564724 -9 0 0 0.003067 0.023697 -2.22068 0.04445 12.7485 0.0236245 0.14276 0.00310631 -0.000208561 1.02709e-05 -6.11647e-05 54.7125 -35.5753 -999 -999 -9 -67.5086 250 0.00991396 11.2901 10 54420.5 0.0541 59 427.622 0 0.0571 0.3831 -0.0405 0.002 1 0.006
2012fr 5 0.00483 0.00085 0.0046 0.00015 0.00492 0.00015 11.9704 0.409689 31.2234 0.410577 31.3773 1 0 -0.036256 0.020595 1.1575 0.035649 11.711 0.0239548 0.3712 0.00818995 -0.000210546 2.96338e-05 -0.000140915 53.4 -36.1271 -999 -999 -9 -67.5086 250 0.0175479 10.732 -9 56244.5 0.0277 280 329.612 0.0221169 0.0477 0.3831 -0.029 0.002 1 0.004
1992A 50 0.00483 0.00085 0.0046 0.00015 0.00492 0.00015 12.087 0.561941 31.34 0.562589 -9 0 0 -0.029989 0.024923 -1.67481 0.037983 12.2736 0.0297443 0.22108 0.00605662 -6.61605e-05 2.23416e-06 -6.54085e-05 54.1142 -34.9587 -999 -999 -9 -67.5086 250 0.0146544 11.5 -9 48640.9 0.0404 107 113.994 0.30383 0.0702 0.3831 -0.0201 0.001 1 0.004
2007on 56 0.00483 0.00085 0.0046 0.00015 0.00491 0.00015 12.5105 0.573808 31.7635 0.574442 -9 0 0 -0.018119 0.041071 -2.28189 0.085466 12.8139 0.0350668 0.13441 0.00434112 -0.000257687 -4.56715e-05 -0.000147651 54.7125 -35.5753 -999 -999 -9 -67.5086 250 0.00991396 11.2901 0 54419.8 0.0807 39 130.87 7.45621e-12 0.1024 0.3831 -0.0296 0.002 1 0.005
2015F 56 0.00488 0.00084 0.00515 2e-05 0.00476 2e-05 12.1943 0.44745 31.4473 0.448264 31.4489 1 0 0.04414 0.05381 -1.16422 0.11969 12.4955 0.12098 0.18022 0.0200815 0.000509497 -0.000245833 -0.000779791 114.066 -69.5064 -999 -999 -9 80.5777 250 0.17476 12.198 0 57106.8 0.0956 22 21.8985 0.46596 0.1164 0.3747 -0.0595 0.003 1 0.011
2015F 5 0.00488 0.00084 0.00515 2e-05 0.00476 2e-05 12.286 0.406132 31.539 0.407028 31.4489 1 0 -0.068708 0.033308 -0.994481 0.029597 12.2751 0.10716 0.22079 0.0217916 -0.000298015 0.000165194 -0.000591588 114.066 -69.5064 -999 -999 -9 80.5777 250 0.17476 12.198 -9 57107.3 0.0301 152 96.9048 0.99985 0.0644 0.3747 0.0024 0.002 1 0.003
2011B 56 0.00538 0.00084 0.00458 1e-05 0.00452 1e-05 12.3982 0.513692 31.6512 0.514401 -9 0 0 -0.026951 0.041039 -1.02192 0.098385 12.4933 0.0388011 0.18058 0.00645338 3.79277e-06 -9.34829e-05 -0.000208027 133.952 78.2174 -999 -999 -9 -238.157 250 0.0267141 11.08 0.003 55583.6 0.0921 20 27.0579 0.13364 0.1012 0.3399 -0.0247 0.002 1 0.004
2018aoz 51 0.00548 0.00085 0.00701 0.00015 0.00587 0.00015 12.4752 0.500704 31.7282 0.501431 -9 0 0 -0.118271 0.030101 -1.12558 0.068756 12.401 0.0573315 0.19661 0.0103819 -0.000322804 -2.70025e-05 -0.000251337 177.758 -28.7441 -999 -999 -9 456.87 250 0.0723949 9.85343 -9 58222 0.1147 44 43.854 0.47784 0.0617 0.3377 0.073 0.008 1 0.005
2016coj 51 0.0057 0.00084 0.00489 6e-05 0.00452 6e-05 12.6587 0.468851 31.9117 0.469628 -9 0 0 -0.05311 0.019664 -1.69279 0.039137 12.7918 0.0235983 0.13718 0.0029815 -7.6462e-05 7.1009e-07 -4.9245e-05 182.028 65.1772 -999 -999 -9 -242.803 250 0.016304 11.036 0.002 57547.9 0.0389 140 145.912 0.34895 0.0441 0.3209 -0.0048 0.001 1 0.004
SN2016coj 150 0.0057 0.00084 0.00489 6e-05 0.00452 6e-05 12.6455 0.482914 31.8985 0.483668 -9 0 0 -0.006916 0.034309 -1.47692 0.085215 12.8717 0.0394491 0.12744 0.00463056 -0.000107973 -4.15095e-05 -0.000136764 182.028 65.1772 -999 -999 -9 -242.803 250 0.016304 11.036 0 57548.1 0.1118 11 29.9128 0.00163532 0.0772 0.3209 -0.0227 0.002 1 0.006
2007sr 57 0.00571 0.00084 0.0066 2e-05 0.00542 2e-05 12.4269 0.374942 31.6799 0.375913 31.6025 1 0 0.017138 0.027385 0.10543 0.051014 12.4637 0.0433819 0.18557 0.00741456 -0.000359835 9.80451e-05 -0.000164935 180.47 -18.9728 -999 -999 -9 265.999 250 0.0404781 10.682 -9 54448.9 0.2466 31 95.9136 1.48359e-08 0.0574 0.3204 -0.053 0.002 1 0.008
2007sr 64 0.00571 0.00084 0.0066 2e-05 0.00542 2e-05 12.3762 0.38481 31.6292 0.385756 31.6025 1 0 0.046871 0.026685 0.056985 0.042095 12.4987 0.0411252 0.17969 0.00680642 -0.000171077 2.80289e-05 -0.000142504 180.47 -18.9728 -999 -999 -9 265.999 250 0.0404781 10.682 2.755 54449.2 0.1643 63 69.474 0.2686 0.0576 0.3204 -0.0665 0.003 1 0.011
2007gi 50 0.00587 0.00084 0.00505 2e-05 0.00462 2e-05 12.4873 0.490624 31.7403 0.491367 -9 0 0 0.021825 0.027089 -1.37417 0.079636 12.8324 0.0337127 0.13214 0.00410301 0.00017969 -5.56034e-05 -9.47002e-05 180.348 61.8927 -999 -999 -9 -242.803 250 0.0203764 7 -9 54327.4 0.0678 35 86.5257 2.9792e-06 0.0587 0.3116 0.0225 0.01 1 0.018
1994ae 61 0.00588 0.00084 0.0054 1e-05 0.00427 1e-05 12.9292 0.338568 32.1822 0.339643 32.1194 1 0 -0.072951 0.026098 0.43761 0.055223 12.6957 0.0345957 0.14988 0.0047757 -0.000223173 -2.61554e-07 -0.000104241 161.758 17.2752 -999 -999 -9 -144.588 250 0.0264098 10.196 0.03 49686 0.0596 69 93.1999 0.0277942 0.0575 0.3111 0.0042 0.002 1 0.003
2015bp 56 0.00592 0.00084 0.00603 2e-05 0.00539 2e-05 13.2155 0.486307 32.4685 0.487055 -9 0 0 -0.049813 0.045087 -2.13402 0.11368 13.4632 0.0468862 0.0739108 0.00319175 -0.000442271 -3.97167e-05 -0.000101493 226.375 1.634 -999 -999 -9 34.1093 250 0.0450268 8.048 0.039 57112.6 0.1339 23 32.8664 0.0834233 0.1152 0.309 0.0345 0.006 1 0.007
2018gv 18 0.00602 0.00085 0.00596 0.00015 0.0051 0.00015 12.6874 0.343274 31.9404 0.344335 32.0504 1 0 -0.067297 0.022548 0.39823 0.082967 12.4685 0.0414596 0.18476 0.00705507 -2.04233e-05 -6.84906e-05 -0.000124499 121.394 -11.4379 -999 -999 -9 -18.777 250 0.0498206 10.06 -9 58150.6 0.0622 92 52.9938 0.99963 0.0484 0.3075 -0.0045 0.002 1 0.003
2018gv 51 0.00602 0.00085 0.00596 0.00015 0.0051 0.00015 12.8136 0.342645 32.0666 0.343707 32.0504 1 0 -0.111964 0.022278 0.59016 0.040938 12.4682 0.0397344 0.18481 0.00676333 -0.000137873 2.17282e-05 -0.000112498 121.394 -11.4379 -999 -999 -9 -18.777 250 0.0498206 10.06 -9 58150.4 0.0452 87 275.887 1.67486e-21 0.0486 0.3075 0.0355 0.002 1 0.003
2018gv 150 0.00602 0.00085 0.00596 0.00015 0.0051 0.00015 12.6572 0.349206 31.9102 0.350249 32.0504 1 0 -0.112311 0.031402 0.12088 0.053583 12.3829 0.0459817 0.19992 0.00846668 -0.000416767 0.000100383 -0.000208687 121.394 -11.4379 -999 -999 -9 -18.777 250 0.0498206 10.06 -9 58150.6 0.0963 28 115.071 1.60744e-12 0.0694 0.3075 0.0384 0.004 1 0.003
1981D 50 0.00616 0.00084 0.00551 3e-05 0.00587 3e-05 11.6549 0.524297 30.9079 0.524992 -9 0 0 0.1611 0.058794 -1.15194 0.36241 12.2753 0.0598886 0.22074 0.0121759 0.00503332 -0.00203861 -0.000625331 50.6599 -37.2327 -999 -999 -9 -191.492 250 0.0179969 11.314 -9 44680.5 0.2498 14 9.82603 0.77479 0.1373 0.297 -0.1001 0.006 1 0.024
2006dd 50 0.00616 0.00084 0.00551 3e-05 0.00587 3e-05 11.9327 0.451429 31.1857 0.452235 -9 0 0 0.021185 0.025883 -0.285563 0.044371 12.0382 0.0316509 0.27462 0.00800564 -0.000159637 -3.79802e-06 -0.000165348 50.6734 -37.2036 -999 -999 -9 -191.492 250 0.0179706 11.01 10 53919.5 0.0441 23 1106.22 0 0.0596 0.297 -0.0546 0.003 1 0.008
2007af 57 0.00625 0.00084 0.00635 1e-05 0.00552 1e-05 12.8137 0.32481 32.0667 0.32593 31.7708 1 0 -0.019682 0.025871 -0.533099 0.035089 12.8497 0.0365274 0.13006 0.00437545 -0.000183179 1.68008e-05 -8.85975e-05 215.588 -0.3938 -999 -999 -9 31.5763 250 0.0336987 10.331 -9 54174.5 0.049 47 102.956 4.62159e-06 0.0576 0.2928 -0.0342 0.002 1 0.004
2007af 56 0.00625 0.00084 0.00635 1e-05 0.00552 1e-05 12.7493 0.36055 32.0023 0.36156 31.7708 1 0 0.031581 0.038354 -0.444525 0.044013 12.9062 0.0391511 0.12346 0.00445183 -0.000318319 1.22668e-05 -0.000131488 215.588 -0.3938 -999 -999 -9 31.5763 250 0.0336987 10.331 0.041 54174.5 0.0464 155 190.747 0.0268319 0.0935 0.2928 -0.0587 0.003 1 0.009
2007af 5 0.00625 0.00084 0.00635 1e-05 0.00552 1e-05 12.8469 0.32168 32.0999 0.322811 31.7708 1 0 -0.046439 0.021801 -0.558 0.02594 12.8231 0.0310192 0.13328 0.00380788 -0.000143564 1.34585e-05 -5.91213e-05 215.588 -0.3938 -999 -999 -9 31.5763 250 0.0336987 10.331 0.3 54175 0.0305 77 124.844 0.000462785 0.0514 0.2928 -0.015 0.002 1 0.004
2007af 64 0.00625 0.00084 0.00635 1e-05 0.00552 1e-05 12.7807 0.33809 32.0337 0.339166 31.7708 1 0 0.014649 0.02559 -0.393072 0.027079 12.8851 0.0361845 0.12587 0.00419504 -0.000155719 1.48801e-05 -8.61122e-05 215.588 -0.3938 -999 -999 -9 31.5763 250 0.0336987 10.331 0.216 54174.5 0.032 99 106.532 0.28456 0.0557 0.2928 -0.0512 0.003 1 0.008
2007le 57 0.0063 0.00084 0.00552 1e-05 0.00672 1e-05 12.8224 0.533308 32.0754 0.533991 -9 0 0 0.20908 0.019005 0.20586 0.036952 13.5777 0.0286098 0.0665152 0.00175271 -6.78392e-05 -1.10174e-07 -2.69748e-05 354.702 -6.5226 -999 -999 -9 -230.401 250 0.0287575 9.02452 -9 54399.3 0.05 65 126.261 8.17485e-06 0.0405 0.2904 0.0868 0.035 1 0.052
2007le 5 0.0063 0.00084 0.00552 1e-05 0.00672 1e-05 12.8313 0.536656 32.0843 0.537335 -9 0 0 0.20677 0.021164 0.23463 0.027155 13.5748 0.0284815 0.0666939 0.00174954 -0.000187885 8.96281e-06 -2.72686e-05 354.702 -6.5226 -999 -999 -9 -230.401 250 0.0287575 9.02452 0.02 54399.9 0.0341 66 141.954 1.7483e-07 0.0499 0.2904 0.0863 0.034 1 0.052
2007le 65 0.0063 0.00084 0.00552 1e-05 0.00672 1e-05 12.7673 0.537482 32.0203 0.538159 -9 0 0 0.22565 0.026259 0.27267 0.047652 13.5704 0.0354699 0.0669626 0.0021876 -0.000103738 -1.54264e-06 -4.78787e-05 354.702 -6.5226 -999 -999 -9 -230.401 250 0.0287575 9.02452 0.4 54399.4 0.0436 52 57.4876 0.27923 0.0566 0.2904 0.0932 0.04 1 0.052
1998dm 57 0.00631 0.00085 0.00567 0.00015 0.00667 0.00015 13.5803 0.562254 32.8333 0.562902 -9 0 0 0.22921 0.039831 0.56097 0.053113 14.3994 0.0423926 0.0312046 0.00121839 -0.000480673 6.39733e-06 -3.84833e-05 21.5582 -6.1039 -999 -999 -9 -191.494 250 0.0390167 7.05776 -9 51061 0.04 46 77.1922 0.00269368 0.0955 0.2934 0.1407 0.041 1 0.052
2014bv 56 0.00634 0.00085 0.00548 0.00014 0.00533 0.00014 13.1471 0.481811 32.4001 0.482567 -9 0 0 0.057169 0.04916 -2.41089 0.15849 13.6699 0.0524273 0.0610996 0.00295033 -0.000371892 1.29597e-06 -0.000108942 186.129 75.5357 -999 -999 -9 -255.967 250 0.0332475 10.4962 0.001 56838.3 0.3791 22 10.8582 0.97671 0.1215 0.292 -0.0621 0.003 1 0.013
2019np 18 0.00648 0.00084 0.0055 0 0.00452 0 13.2078 0.317328 32.4608 0.318474 32.3302 1 0 -0.02786 0.019016 0.11525 0.04952 13.1265 0.0252112 0.10078 0.00234024 2.93734e-05 -2.48823e-05 -3.76401e-05 157.342 29.5106 -999 -999 -9 -289.936 250 0.0172714 10.63 -9 58510.5 0.0548 102 64.771 0.9985 0.0411 0.2824 -0.0305 0.002 1 0.004
2019np 150 0.00648 0.00084 0.0055 0 0.00452 0 13.1808 0.321157 32.4338 0.32229 32.3302 1 0 -0.025372 0.029598 0.11384 0.074387 13.1161 0.0358983 0.10176 0.00336454 -0.000187854 -1.25753e-06 -8.78652e-05 157.342 29.5106 -999 -999 -9 -289.936 250 0.0172714 10.63 -9 58510.4 0.0507 66 66.0811 0.47404 0.0645 0.2824 -0.0219 0.003 1 0.004
1997br 62 0.00665 0.00085 0.00801 0.00015 0.00699 0.00015 12.4791 0.530482 31.7321 0.531169 -9 0 0 0.23825 0.034175 0.33528 0.064342 13.3299 0.0759995 0.0835711 0.00584982 0.000189961 -2.71707e-05 -0.000160301 200.177 -22.0367 -999 -999 -9 405.572 250 0.0971149 8.92838 5 50560 0.0431 102 894.431 0 0.0639 0.2785 0.1111 0.042 1 0.052
2011iv 5 0.00668 0.00085 0.00594 0.00015 0.00625 0.00015 11.9687 0.419839 31.2217 0.420706 -9 0 0 -0.056402 0.022414 -1.89667 0.035884 12.1617 0.0228981 0.24509 0.00516896 -0.000123226 7.84706e-06 -9.49236e-05 54.714 -35.5922 -999 -999 -9 -219.284 250 0.00980387 7 -9 55905.3 0.0919 99 301.977 2.15654e-22 0.0535 0.2772 0.0352 0.006 1 0.007
1995al 61 0.00673 0.00084 0.00592 6e-05 0.00504 6e-05 13.1063 0.358431 32.3593 0.359446 32.4626 1 0 0.036406 0.026077 1.20311 0.12078 13.0285 0.0306431 0.1103 0.00311311 -7.71042e-05 -2.05853e-05 -6.96242e-05 147.733 33.5526 -999 -999 -9 -242.468 250 0.0116153 10.296 0.02 50029.5 0.174 34 117.327 4.27337e-11 0.0604 0.2719 -0.0653 0.003 1 0.01
1996X 61 0.00676 0.00085 0.00812 0.00015 0.00712 0.00015 12.7203 0.414586 31.9733 0.415464 -9 0 0 -0.076722 0.027555 -1.07643 0.037787 12.7358 0.0495976 0.14443 0.00659788 -0.000177121 3.36425e-05 -0.000140125 199.505 -26.8459 -999 -999 -9 405.572 250 0.0597085 9.77381 2.3 50191.8 0.0677 105 211.489 3.63331e-09 0.0577 0.274 0.0416 0.005 1 0.006
2017erp 51 0.00677 0.00085 0.00727 0.00015 0.00662 0.00015 12.9421 0.339458 32.1951 0.34053 32.2221 1 0 0.03324 0.023625 0.26056 0.022269 12.9977 0.063433 0.11348 0.00663008 -0.000119712 2.64104e-05 -0.000125899 227.312 -11.3342 -999 -999 -9 147.138 250 0.0926627 10.591 -9 57935 0.0219 164 252.323 1.12596e-05 0.0442 0.2736 -0.0612 0.002 1 0.01
2017erp 150 0.00677 0.00085 0.00727 0.00015 0.00662 0.00015 12.9199 0.370142 32.1729 0.371125 32.2221 1 0 0.071172 0.039678 0.47218 0.19972 13.0751 0.06548 0.10567 0.00637306 -0.00231035 0.000371887 -0.000196343 227.312 -11.3342 -999 -999 -9 147.138 250 0.0926627 10.591 -9 57934.9 0.3455 18 15.34 0.70076 0.0933 0.2736 -0.0476 0.005 1 0.016
2017erp 18 0.00677 0.00085 0.00727 0.00015 0.00662 0.00015 12.9518 0.3469 32.2048 0.34795 32.2221 1 0 0.058715 0.031136 0.35115 0.079854 13.0604 0.0692627 0.10711 0.00683286 7.02287e-05 -5.06295e-05 -0.000173172 227.312 -11.3342 -999 -999 -9 147.138 250 0.0926627 10.591 -9 57935 0.0649 39 11.6926 0.99999 0.0586 0.2736 -0.0735 0.003 1 0.013
